id;createdat;updatedat;code;token;defaultlanguagecode;currencycode;pricesincludetax
1;2021-10-24T18:44:38;2021-10-25T01:43:55;Handcrafted;Tennessee Functionality;quantifying;navigate Home;true
2;2021-10-25T03:41:17;2021-10-25T07:59:42;Future;Ecuador reboot;Legacy sensor;database;true
3;2021-10-25T11:12:36;2021-10-24T21:07:34;1080p Practical;deposit invoice;Ameliorated Health;Alaska;true
4;2021-10-25T07:52:08;2021-10-25T14:19:43;Quality;Tactics ivory;deposit index;Manat Infrastructure;false
5;2021-10-25T08:22:08;2021-10-25T04:26:16;Concrete override;channels fuchsia;Guinea;Movies back-end;false
6;2021-10-25T12:49:54;2021-10-25T07:31:07;Metrics;card lime;bus;Wooden Dinar circuit;true
7;2021-10-24T20:11:58;2021-10-24T21:18:49;Market;multi-byte Kids;orchestrate;Loan utilize Salad;false
8;2021-10-25T17:49:35;2021-10-25T02:52:01;Uganda Dynamic;white supply-chains;Plastic Chips value-added;Division;true
9;2021-10-24T23:17:48;2021-10-25T09:57:14;withdrawal Dominica Naira;Industrial hacking Beauty;out-of-the-box;Movies backing monitor;false
10;2021-10-25T01:54:18;2021-10-25T00:45:23;Health relationships;Saint markets Games;Concrete Configuration;channels Accounts Card;true
