id;createdat;updatedat;position;asset_id;collection_id
1;2021-10-25T00:55:48;2021-10-24T18:55:44;23227;1;1
2;2021-10-24T23:37:38;2021-10-25T08:28:18;80980;2;2
3;2021-10-24T21:25:24;2021-10-25T14:47:48;40605;3;3
4;2021-10-25T09:55:56;2021-10-25T03:23:33;35539;4;4
5;2021-10-25T10:18:37;2021-10-25T15:00:43;3794;5;5
6;2021-10-25T14:38:52;2021-10-24T21:39:31;69755;6;6
7;2021-10-25T10:50:31;2021-10-24T21:01:43;80265;7;7
8;2021-10-24T22:05:50;2021-10-24T21:14:02;23474;8;8
9;2021-10-24T20:43:39;2021-10-25T04:54:49;30354;9;9
10;2021-10-25T16:06:55;2021-10-24T19:18:50;47540;10;10
