id;createdat;updatedat;languagecode;name;slug;description
1;2021-10-25T08:39:30;2021-10-25T09:05:25;online XML;hard Directives Corporate;Massachusetts Pennsylvania;copying Small neutral
2;2021-10-25T02:24:43;2021-10-25T05:47:26;e-business;web-readiness Maryland reboot;open-source flexibility;override connecting
3;2021-10-25T04:11:49;2021-10-25T12:26:31;International Station;Account;parsing Manager invoice;THX
4;2021-10-25T08:58:58;2021-10-25T02:28:54;monitor Wooden;SMS Car;Pound architect monitor;parse Supervisor
5;2021-10-24T23:30:54;2021-10-24T19:20:35;payment;grow;Rubber Producer;optical Auto Intuitive
6;2021-10-24T18:05:01;2021-10-25T04:09:10;wireless override;supply-chains tertiary Streets;Fresh;Chair
7;2021-10-25T15:41:11;2021-10-25T14:06:21;withdrawal plug-and-play;digital moratorium;collaborative auxiliary;Malagasy
8;2021-10-25T04:40:39;2021-10-25T02:22:00;Dollar;Soap architect program;one-to-one Pants interface;withdrawal transmitter
9;2021-10-25T17:21:03;2021-10-25T02:49:46;Unbranded;Lebanon Account state;Small integrated Agent;override
10;2021-10-25T00:43:04;2021-10-25T06:57:44;Planner driver;Swedish Concrete;global Djibouti withdrawal;Refined Avon
