id;createdat;updatedat;code;enabled
1;2021-10-24T21:21:37;2021-10-25T07:41:22;up Brand;false
2;2021-10-25T09:52:43;2021-10-25T06:04:37;virtual Riyal;false
3;2021-10-25T16:58:42;2021-10-25T11:42:33;Beauty;false
4;2021-10-25T03:24:16;2021-10-24T18:31:14;interactive;false
5;2021-10-25T09:30:42;2021-10-25T16:05:31;Norway wireless overriding;false
6;2021-10-25T10:58:10;2021-10-24T22:28:13;virtual;false
7;2021-10-25T13:59:20;2021-10-25T02:19:59;Fresh;true
8;2021-10-24T23:27:15;2021-10-25T17:16:35;RAM Chips;true
9;2021-10-25T02:36:49;2021-10-25T17:40:45;generation;true
10;2021-10-25T16:04:22;2021-10-25T16:34:59;Credit Enterprise-wide Strategist;true
