id;createdat;updatedat;languagecode;name
1;2021-10-25T17:36:11;2021-10-25T13:53:16;quantifying schemas Colorado;Borders invoice
2;2021-10-25T13:06:46;2021-10-25T16:28:44;Chair Global maroon;empower
3;2021-10-25T09:26:12;2021-10-25T16:45:52;payment Pizza;GB Leone Handmade
4;2021-10-25T04:48:31;2021-10-25T06:59:58;motivating;connecting users Communications
5;2021-10-25T01:13:58;2021-10-25T06:07:16;Czech Account functionalities;teal
6;2021-10-25T02:31:11;2021-10-25T12:52:24;Account Loan;deposit
7;2021-10-25T00:10:29;2021-10-25T06:08:00;Horizontal;Proactive B2B Soft
8;2021-10-25T17:05:17;2021-10-24T21:36:11;synthesizing generate Pizza;real-time Analyst
9;2021-10-25T17:26:44;2021-10-24T21:26:42;Dirham alarm;card compress
10;2021-10-25T11:42:34;2021-10-24T21:52:57;Maine;Account
