id;createdat;updatedat;languagecode;name
1;2021-10-25T05:41:17;2021-10-24T22:30:18;user-centric;synergies monetize wireless
2;2021-10-25T12:35:40;2021-10-25T05:35:53;synthesizing Concrete Vermont;sky redundant models
3;2021-10-25T14:03:11;2021-10-24T20:26:02;Internal Practical;interactive Lesotho Berkshire
4;2021-10-24T23:32:24;2021-10-25T12:14:49;Cotton;Chicken deposit Producer
5;2021-10-24T21:15:15;2021-10-25T17:39:01;deliver aggregate firewall;Configuration Oro
6;2021-10-25T03:54:51;2021-10-24T23:35:12;functionalities Shoal payment;Shirt Human
7;2021-10-25T03:32:57;2021-10-25T07:13:21;Garden;national ROI
8;2021-10-25T15:13:35;2021-10-25T09:16:28;Strategist Borders Metal;markets Practical AI
9;2021-10-25T14:21:04;2021-10-24T21:48:04;sky Buckinghamshire Multi-layered;turquoise
10;2021-10-25T14:43:03;2021-10-24T19:59:05;Fresh auxiliary Engineer;Dynamic Wooden
