id;createdat;updatedat;state;trackingcode;method;handlercode
1;2021-10-25T03:54:14;2021-10-25T03:17:58;virtual;Car digital up;Soft;deposit clear-thinking
2;2021-10-24T20:18:20;2021-10-25T05:52:57;analyzing Cambridgeshire Corporate;Zimbabwe Solutions PNG;hub;Armenian
3;2021-10-25T16:18:27;2021-10-25T12:26:22;Car;Loan Intranet Montana;Mews;Tactics Networked
4;2021-10-25T10:11:04;2021-10-25T15:48:16;Berkshire protocol Rustic;back-end base Enterprise-wide;next-generation;Wooden
5;2021-10-25T02:55:18;2021-10-25T13:27:51;quantifying deposit;Home;Mississippi;Awesome Data transmitter
6;2021-10-25T02:01:22;2021-10-25T00:26:37;Automated withdrawal Grocery;Montana Avon;redundant Human parse;system-worthy
7;2021-10-25T13:19:09;2021-10-25T03:41:23;Knolls;Buckinghamshire Cambridgeshire;Northern;Designer
8;2021-10-25T00:27:01;2021-10-25T06:58:21;Stream;architecture methodical;Unbranded Synchronised;Rwanda
9;2021-10-25T11:10:26;2021-10-25T08:27:24;Reduced Architect Borders;artificial;Tuna Wooden;back-end Mexico CSS
10;2021-10-25T09:51:01;2021-10-25T10:41:00;calculating forecast;New Fantastic;Concrete Grocery Shoes;Forward Account
