id;createdat;updatedat;availablelanguages;trackinventory;outofstockthreshold
1;2021-10-25T01:02:32;2021-10-25T00:32:08;copying Sports Ball;false;8074
2;2021-10-25T12:52:16;2021-10-24T20:26:11;reciprocal;false;45849
3;2021-10-25T11:28:12;2021-10-25T00:58:35;Plains Rubber integrate;false;6043
4;2021-10-24T19:47:13;2021-10-25T08:53:56;microchip Customer;true;69081
5;2021-10-25T03:39:23;2021-10-24T22:45:03;Curve revolutionize;false;70235
6;2021-10-25T07:02:51;2021-10-25T07:13:23;blockchains magnetic monetize;false;4395
7;2021-10-25T15:15:00;2021-10-25T12:02:52;bus;true;71146
8;2021-10-24T23:45:28;2021-10-25T11:15:31;Finland connect blue;true;56780
9;2021-10-25T15:50:55;2021-10-25T16:45:32;mission-critical Granite networks;true;88396
10;2021-10-25T00:03:35;2021-10-25T07:18:11;Frozen;true;45054
