id;createdat;updatedat;queuename;data;state;progress;result;error;startedat;settledat;issettled;retries;attempts
1;2021-10-25T04:28:19;2021-10-25T11:05:11;Lira;Frozen intelligence success;synthesize;86519;grey payment;calculating Romania;2021-10-25T14:45:45;2021-10-25T13:33:38;false;78099;44897
2;2021-10-24T20:20:59;2021-10-24T18:16:03;Wyoming state Mississippi;azure;Sterling Home Handmade;19345;Table;Comoro Regional;2021-10-25T16:10:44;2021-10-25T02:12:57;false;67468;22180
3;2021-10-25T12:08:44;2021-10-25T03:16:10;Wooden;Facilitator deposit Gorgeous;Internal hack;48204;Gloves Rubber pixel;Massachusetts dynamic customized;2021-10-25T09:38:55;2021-10-24T22:37:18;false;78559;39012
4;2021-10-25T03:24:55;2021-10-25T07:06:36;Rand mobile;quantifying Savings;Guadeloupe;81091;installation Aruba program;Borders North deposit;2021-10-25T13:26:25;2021-10-24T21:43:23;false;45178;20961
5;2021-10-25T09:39:40;2021-10-25T17:44:09;SSL proactive;index hard Savings;Paradigm Direct;85738;Coordinator;Mountains;2021-10-25T11:14:25;2021-10-25T00:11:49;false;12649;96571
6;2021-10-25T17:17:22;2021-10-25T15:14:33;Mouse;Liberia;Motorway hub Factors;84557;navigating;Vatu Awesome;2021-10-24T19:16:32;2021-10-25T00:55:54;true;42497;99017
7;2021-10-25T12:10:08;2021-10-25T15:19:31;program Outdoors;Borders synthesize;Fish;68276;Valleys interactive;Republic Agent;2021-10-25T10:57:20;2021-10-25T02:43:21;false;54540;17622
8;2021-10-25T10:49:00;2021-10-25T06:26:40;Dynamic Rupiah;cross-media;Rustic;1973;PCI;Georgia bypassing Planner;2021-10-24T19:54:09;2021-10-24T20:46:06;false;41346;35214
9;2021-10-25T17:06:49;2021-10-24T23:41:11;1080p AGP Chips;back-end;Green;97518;actuating Clothing Proactive;matrix Buckinghamshire Avon;2021-10-25T05:30:11;2021-10-25T07:11:57;true;62;15090
10;2021-10-25T03:47:03;2021-10-25T06:40:53;compressing Assistant;sensor;Fresh;34273;Jewelery Lead generating;bleeding-edge Plastic;2021-10-25T15:20:26;2021-10-25T12:31:05;true;81689;72044
