id;createdat;updatedat;initiallistprice;listprice;listpriceincludestax;adjustments;taxlines;cancelled;line_id
1;2021-10-25T15:16:51;2021-10-25T10:20:01;38341;54520;true;generating;Practical hacking;false;1
2;2021-10-25T08:16:16;2021-10-25T16:56:51;55993;15279;true;Soft;application Ball;true;2
3;2021-10-25T12:13:39;2021-10-25T00:39:32;956;11085;false;Dollar SCSI Martinique;interfaces;true;3
4;2021-10-24T19:15:08;2021-10-25T04:41:44;8432;80266;false;payment virtual;client-driven Bedfordshire;true;4
5;2021-10-24T18:22:37;2021-10-25T11:21:01;49008;81218;true;Computer CSS;value-added fuchsia Up-sized;true;5
6;2021-10-24T22:01:02;2021-10-25T08:54:14;29919;74828;true;generating Surinam;redundant improvement action-items;false;6
7;2021-10-25T01:15:12;2021-10-25T13:45:44;31897;11126;true;Fresh User leading-edge;capacitor Borders navigating;true;7
8;2021-10-25T16:22:09;2021-10-25T11:51:25;55989;99624;true;Loan Minnesota Buckinghamshire;Borders online ADP;false;8
9;2021-10-25T03:44:12;2021-10-25T00:59:45;4106;64579;false;Robust Kids;Automated Officer;false;9
10;2021-10-24T22:45:25;2021-10-25T14:54:52;67007;40466;true;Automotive;SMS;true;10
