id;createdat;updatedat;note;pricechange;shippingaddresschange;billingaddresschange
1;2021-10-25T18:11:10;2021-10-25T13:36:36;connect;81616;Run;Multi-channelled Direct redundant
2;2021-10-25T17:09:45;2021-10-25T02:11:25;Associate Unbranded West;61113;Metal;Supervisor Garden Interface
3;2021-10-25T18:07:45;2021-10-24T20:02:53;Lead;63280;applications;Tasty Personal
4;2021-10-25T07:04:05;2021-10-24T22:14:08;Concrete Leu maroon;88191;Borders Island;generation
5;2021-10-25T12:53:52;2021-10-25T04:33:21;Cambridgeshire;83452;Phased Sleek;5th plum
6;2021-10-25T10:18:18;2021-10-25T02:45:13;Court Gambia;10017;connecting;Buckinghamshire Georgia networks
7;2021-10-24T20:04:58;2021-10-25T05:30:57;integrated;83600;Berkshire Berkshire Frozen;Rufiyaa Mobility
8;2021-10-25T14:00:53;2021-10-25T00:44:52;initiatives;70384;Republic;asynchronous
9;2021-10-25T10:24:56;2021-10-25T13:37:57;Shirt Health;11042;Forward Paradigm;Cuban
10;2021-10-25T09:18:38;2021-10-25T15:39:25;Human;29507;Rubber exuding Islands;digital customized user-centric
