id;createdat;updatedat;position;asset_id;product_id
1;2021-10-25T15:34:57;2021-10-25T10:44:06;53296;1;1
2;2021-10-24T19:38:06;2021-10-25T11:51:08;88156;2;2
3;2021-10-24T22:44:17;2021-10-25T09:55:06;47699;3;3
4;2021-10-25T17:01:52;2021-10-25T14:23:31;22530;4;4
5;2021-10-25T16:54:16;2021-10-25T17:46:23;75325;5;5
6;2021-10-25T02:03:12;2021-10-25T02:24:02;85644;6;6
7;2021-10-25T09:30:02;2021-10-24T23:52:47;96351;7;7
8;2021-10-25T13:51:12;2021-10-25T16:47:30;5799;8;8
9;2021-10-25T01:04:14;2021-10-25T13:29:31;43961;9;9
10;2021-10-25T16:20:14;2021-10-24T22:08:00;38715;10;10
