id;createdat;updatedat;deletedat;code;group_id
1;2021-10-25T11:03:46;2021-10-24T22:25:12;2021-10-24T23:27:06;Home Intranet;1
2;2021-10-25T00:06:54;2021-10-25T17:51:14;2021-10-25T14:15:37;adapter Buckinghamshire;2
3;2021-10-25T14:55:26;2021-10-24T19:13:47;2021-10-25T10:19:00;Port;3
4;2021-10-25T13:32:40;2021-10-25T01:11:27;2021-10-24T22:00:54;optical;4
5;2021-10-25T10:40:25;2021-10-25T09:10:52;2021-10-25T05:24:04;up;5
6;2021-10-25T15:23:27;2021-10-25T04:48:59;2021-10-25T03:10:29;recontextualize Arizona deposit;6
7;2021-10-25T17:11:50;2021-10-25T08:25:06;2021-10-25T16:48:17;Aruba Intelligent Tuna;7
8;2021-10-25T18:14:13;2021-10-25T12:10:59;2021-10-25T14:21:06;Dollar metrics parsing;8
9;2021-10-25T04:30:11;2021-10-25T12:53:08;2021-10-24T22:42:25;Senior transform Shirt;9
10;2021-10-25T10:56:26;2021-10-25T17:26:45;2021-10-25T11:17:31;magnetic mobile;10
