id;createdat;updatedat;deletedat;code
1;2021-10-24T22:35:25;2021-10-25T12:47:54;2021-10-25T02:16:42;Guinea Generic
2;2021-10-25T00:53:24;2021-10-25T06:16:48;2021-10-24T23:23:23;throughput Frozen
3;2021-10-25T07:12:10;2021-10-25T16:58:53;2021-10-24T19:43:18;withdrawal
4;2021-10-25T02:16:32;2021-10-25T01:13:56;2021-10-25T02:52:50;hacking redundant mission-critical
5;2021-10-25T15:52:36;2021-10-25T11:23:27;2021-10-25T09:40:08;Frozen Cheese 24/7
6;2021-10-25T06:35:58;2021-10-25T11:32:45;2021-10-24T21:53:05;generate Account e-business
7;2021-10-25T16:48:33;2021-10-24T19:20:12;2021-10-24T23:40:30;Electronics
8;2021-10-25T07:05:23;2021-10-25T08:27:57;2021-10-25T15:33:50;copy
9;2021-10-25T03:16:45;2021-10-24T19:03:07;2021-10-25T13:10:04;enable Clothing District
10;2021-10-25T05:47:42;2021-10-25T04:56:40;2021-10-25T12:49:01;connecting virtual
