id;createdat;updatedat;languagecode;name;slug;description
1;2021-10-25T05:03:36;2021-10-24T19:14:22;Nevada Junctions cross-media;Granite magenta;Manager Forward;infomediaries indexing Music
2;2021-10-25T03:05:47;2021-10-24T22:25:03;engage International;IB;New Fiji Leu;mindshare
3;2021-10-24T18:27:51;2021-10-25T00:16:58;Chief Shoes;Squares lime drive;backing expedite drive;Account Coordinator
4;2021-10-25T03:20:02;2021-10-24T23:52:46;Engineer Avon;platforms;Incredible mindshare;integrate Chair
5;2021-10-25T16:32:04;2021-10-25T14:23:26;Borders;Colorado;schemas;Steel Rustic Coordinator
6;2021-10-24T18:39:02;2021-10-25T03:11:13;New Ball;Wooden;SMS Electronics;Kuwaiti Personal
7;2021-10-24T20:21:26;2021-10-25T15:32:54;override;Assistant Rubber Configuration;Manager;AGP parsing
8;2021-10-25T03:10:33;2021-10-24T22:55:32;Salvador;Division;Berkshire;up Computer
9;2021-10-25T11:38:37;2021-10-25T14:02:57;Tasty architectures Re-contextualized;RSS analyzer Versatile;Botswana;Rubber Maryland
10;2021-10-24T20:20:06;2021-10-25T02:47:58;California;Steel;Riel;Fantastic Bedfordshire
