id;createdat;updatedat;deletedat;enabled;sku;stockonhand;stockallocated;outofstockthreshold;useglobaloutofstockthreshold;trackinventory
1;2021-10-25T00:52:13;2021-10-25T17:23:21;2021-10-25T00:46:17;false;virtual Optimization circuit;36279;92749;14597;false;framework Loan Pound
2;2021-10-25T03:04:37;2021-10-25T02:37:56;2021-10-25T14:51:57;false;Pants;4474;56768;83673;false;platforms Pizza Personal
3;2021-10-24T21:25:43;2021-10-25T12:17:11;2021-10-24T20:16:11;false;overriding Steel Unbranded;78088;77942;62242;true;Ways Marketing withdrawal
4;2021-10-24T22:17:09;2021-10-24T20:18:37;2021-10-25T05:41:56;false;driver Cambridgeshire;50307;4959;80106;true;haptic Borders Fish
5;2021-10-25T00:14:27;2021-10-24T19:08:56;2021-10-25T10:51:00;true;Buckinghamshire Borders;99619;88419;98766;true;deposit
6;2021-10-24T22:17:34;2021-10-25T07:42:53;2021-10-25T04:09:00;false;technologies Sharable;91595;41572;19581;false;Robust Euro Operative
7;2021-10-25T03:45:07;2021-10-25T00:48:21;2021-10-24T19:27:50;true;Cambridgeshire GB;45732;74254;64853;true;Loan quantify Illinois
8;2021-10-25T09:12:08;2021-10-25T05:31:28;2021-10-25T06:28:54;false;withdrawal;72890;78140;63718;true;Directives harness
9;2021-10-25T01:57:13;2021-10-24T23:54:49;2021-10-25T04:42:24;false;Alaska mindshare;61240;66731;28348;false;groupware
10;2021-10-24T20:09:28;2021-10-25T14:32:38;2021-10-24T23:10:46;true;navigate bypass;7383;96360;21981;false;global card
