id;createdat;updatedat;position;asset_id;productvariant_id
1;2021-10-25T03:03:00;2021-10-25T02:22:05;53583;1;1
2;2021-10-25T06:53:16;2021-10-25T14:13:38;31869;2;2
3;2021-10-24T19:34:24;2021-10-25T07:48:32;47924;3;3
4;2021-10-25T04:34:08;2021-10-25T00:51:56;23137;4;4
5;2021-10-25T16:51:39;2021-10-25T01:50:00;34938;5;5
6;2021-10-25T08:10:10;2021-10-25T12:09:31;55947;6;6
7;2021-10-25T04:45:32;2021-10-25T06:09:48;68703;7;7
8;2021-10-25T14:33:53;2021-10-25T14:24:13;94907;8;8
9;2021-10-25T03:37:35;2021-10-25T00:26:56;43833;9;9
10;2021-10-25T05:17:01;2021-10-24T21:02:50;3417;10;10
