id;createdat;updatedat;price;channelid
1;2021-10-24T20:34:11;2021-10-25T10:02:37;40928;87380
2;2021-10-25T01:59:17;2021-10-25T12:55:17;82625;75675
3;2021-10-24T22:01:45;2021-10-25T07:21:12;21453;50676
4;2021-10-24T22:54:56;2021-10-24T21:24:35;64737;63977
5;2021-10-25T14:24:29;2021-10-25T11:30:21;89519;59456
6;2021-10-24T20:50:46;2021-10-24T23:47:27;30770;51436
7;2021-10-25T13:31:15;2021-10-25T05:56:04;93493;19426
8;2021-10-25T15:56:05;2021-10-25T04:45:31;9012;90625
9;2021-10-25T10:26:34;2021-10-25T06:01:50;64377;1870
10;2021-10-24T18:27:05;2021-10-25T08:04:07;92741;84543
