id;createdat;updatedat;languagecode;name
1;2021-10-24T23:33:11;2021-10-25T13:27:15;multi-byte Berkshire Monaco;Borders
2;2021-10-24T22:08:21;2021-10-25T14:56:28;Falls Generic Islands;Keyboard Fish withdrawal
3;2021-10-24T20:20:02;2021-10-25T16:39:54;haptic tan Health;cross-platform
4;2021-10-25T02:26:27;2021-10-25T16:32:27;Movies Representative;digital Plastic
5;2021-10-25T08:59:46;2021-10-24T23:28:23;Botswana Mobility Omani;Generic
6;2021-10-25T06:05:37;2021-10-25T15:26:06;compressing Hawaii;back-end Berkshire
7;2021-10-24T20:04:38;2021-10-25T05:02:20;invoice Curve Tala;Synergistic Toys Open-architected
8;2021-10-25T12:47:17;2021-10-24T19:07:34;Brunei PNG Ergonomic;Dollar Customer Investor
9;2021-10-25T18:14:10;2021-10-24T23:10:49;Zambia Functionality;Roads wireless infrastructures
10;2021-10-25T12:41:32;2021-10-25T13:34:50;Light Soap Movies;Planner payment Kids
