id;createdat;updatedat;deletedat;startsat;endsat;couponcode;percustomerusagelimit;name;enabled;conditions;actions;priorityscore
1;2021-10-25T05:14:49;2021-10-25T09:04:59;2021-10-25T09:17:09;2021-10-24T21:20:05;2021-10-25T17:39:17;Human ADP;17747;Bacon;true;Mission;optical;85660
2;2021-10-25T11:54:00;2021-10-25T01:56:02;2021-10-25T05:30:16;2021-10-25T03:15:14;2021-10-25T09:03:19;Tactics;28320;Wooden strategic;true;Internal matrices;Steel;92643
3;2021-10-25T17:27:26;2021-10-24T20:22:44;2021-10-25T04:27:31;2021-10-24T20:17:43;2021-10-24T20:03:03;Credit Markets Oregon;92798;Radial;true;optimize Handcrafted;deliverables;92860
4;2021-10-25T16:06:13;2021-10-25T12:27:25;2021-10-25T10:18:14;2021-10-24T21:52:52;2021-10-25T06:00:21;Avon deploy Metal;41779;Wisconsin;true;payment Director SSL;Specialist Branding Refined;78345
5;2021-10-25T17:21:01;2021-10-24T19:21:34;2021-10-25T08:16:48;2021-10-25T11:56:15;2021-10-25T09:21:21;Lights secured;52812;Horizontal Soft;false;mesh;Market;7766
6;2021-10-25T17:20:10;2021-10-25T00:06:37;2021-10-25T11:40:18;2021-10-24T20:16:01;2021-10-25T05:36:45;Facilitator;34170;incubate FTP;true;Borders;haptic Motorway;42980
7;2021-10-25T07:03:46;2021-10-25T01:10:14;2021-10-25T14:25:29;2021-10-24T19:46:30;2021-10-25T15:03:14;tolerance Romania;13655;Mobility parsing;true;Bedfordshire;Strategist Administrator Rustic;45413
8;2021-10-24T18:28:56;2021-10-25T10:32:59;2021-10-25T17:37:24;2021-10-25T01:09:51;2021-10-25T07:08:35;Future;62650;Car;true;Metal enterprise;Flat override;62284
9;2021-10-24T22:22:49;2021-10-24T19:42:53;2021-10-24T21:39:22;2021-10-25T01:37:14;2021-10-24T19:40:22;back-end redundant;96737;Zloty;true;Account;clear-thinking Zambia;44648
10;2021-10-25T12:13:31;2021-10-25T09:19:06;2021-10-24T22:02:46;2021-10-25T16:33:53;2021-10-25T13:38:22;Mouse Identity;34546;Officer Corporate Island;false;Auto Michigan Islands;Tactics;20020
