id;createdat;updatedat;listprice;listpriceincludestax;adjustments;taxlines;shippingmethod_id
1;2021-10-25T11:40:17;2021-10-25T16:50:45;59069;true;benchmark reboot;Metal compress;1
2;2021-10-24T20:21:45;2021-10-25T05:02:57;95691;true;Investor e-business Books;microchip;2
3;2021-10-24T23:03:05;2021-10-25T08:47:13;15832;true;connecting Future Kids;Cambridgeshire;3
4;2021-10-25T15:02:25;2021-10-25T10:50:08;14760;true;Courts asynchronous Integration;exploit connect Hawaii;4
5;2021-10-25T11:23:47;2021-10-25T07:53:33;10839;false;Handcrafted 24/365;Loan North Moldovan;5
6;2021-10-25T18:12:17;2021-10-25T16:46:39;65518;false;out-of-the-box;Carolina Chief;6
7;2021-10-25T03:10:12;2021-10-25T04:19:20;19059;true;Shoes Chicken;Account sexy Dynamic;7
8;2021-10-24T23:06:14;2021-10-25T15:49:28;33173;false;Ameliorated mobile leverage;Coordinator Account;8
9;2021-10-25T06:27:59;2021-10-24T18:34:41;32806;false;Loan SQL iterate;transparent;9
10;2021-10-25T07:09:18;2021-10-25T05:00:58;43975;false;Games Dynamic invoice;transmitting index indigo;10
