id;createdat;updatedat;description;listprice;listpriceincludestax;sku;taxlines
1;2021-10-25T14:29:56;2021-10-25T17:31:41;virtual Metal;88422;false;Markets;Street Chief
2;2021-10-25T10:40:51;2021-10-25T03:17:16;Awesome Mall Re-engineered;23122;true;Sierra Montana;Mission neural Dynamic
3;2021-10-25T18:21:07;2021-10-25T01:56:18;Samoa purple;97044;false;payment parsing hierarchy;Avon Handmade initiatives
4;2021-10-25T11:40:49;2021-10-25T18:31:08;Account bandwidth;28629;false;GB ADP reboot;Carolina Small
5;2021-10-24T20:58:25;2021-10-25T04:14:42;Global;48249;false;Tools generate;indexing Car backing
6;2021-10-25T11:21:14;2021-10-25T13:46:51;Hong Cotton payment;9786;true;Iranian Mandatory needs-based;Digitized eco-centric indexing
7;2021-10-25T02:16:21;2021-10-25T17:37:46;Indiana Bedfordshire;52842;true;info-mediaries bypassing Designer;Plastic PCI
8;2021-10-25T06:13:15;2021-10-25T12:16:19;Account cultivate Belize;97071;true;Table Steel deposit;copy card
9;2021-10-25T02:16:19;2021-10-25T01:09:42;Tuna green;49739;true;Intranet Program;Garden Market
10;2021-10-25T05:59:48;2021-10-25T18:09:28;Steel protocol;92057;false;Washington;Buckinghamshire Madagascar
