id;createdat;updatedat;name;enabled;value
1;2021-10-24T19:12:39;2021-10-24T20:45:52;Idaho;true;35705
2;2021-10-25T16:26:43;2021-10-25T09:16:42;Fresh Keyboard;true;61367
3;2021-10-25T01:51:20;2021-10-24T19:05:50;9(E.U.A.-9) Fish;false;6708
4;2021-10-24T21:45:49;2021-10-25T16:56:55;Soft;false;12129
5;2021-10-25T14:38:25;2021-10-24T18:57:14;Azerbaijan;false;85600
6;2021-10-25T02:33:30;2021-10-24T21:10:55;Refined Rustic;false;26676
7;2021-10-25T04:30:22;2021-10-25T05:22:47;Tasty Jewelery Avon;false;65231
8;2021-10-25T07:39:53;2021-10-25T10:52:20;transmitter Granite;true;79424
9;2021-10-25T13:05:44;2021-10-24T20:42:35;synthesize Tactics;true;40140
10;2021-10-25T03:54:00;2021-10-25T04:52:45;Gorgeous Intranet Future;false;87538
